"Date","Win7","WinXP","Win10","WinVista","Win8.1","Win8","Win11","Win2003","Win2000","Win98","Win8.1 RT","WinME","Other"
2021-11,12.76,0.5,82.45,0.2,3.16,0.9,0,0.01,0,0,0,0,0
2021-12,12.91,0.51,82.49,0.19,3.12,0.76,0,0.01,0,0,0,0,0
2022-01,11.92,0.49,81.15,0.19,2.93,0.69,2.6,0.01,0,0,0,0,0
2022-02,11.98,0.52,75.47,0.18,2.87,1.08,7.89,0.01,0.01,0,0,0,0
2022-03,12.11,0.44,74.82,0.21,3.01,0.92,8.45,0.01,0.01,0,0,0,0
2022-04,12.67,0.44,73.12,0.32,3.25,1.26,8.91,0.02,0.01,0,0,0,0
2022-05,13.03,0.39,71.82,0.23,3.06,1.36,10.08,0.02,0.01,0,0,0,0
2022-06,11.54,0.39,73.45,0.14,2.83,0.67,10.96,0.01,0,0,0,0,0
2022-07,11.96,0.38,72.22,0.13,2.87,0.66,11.77,0.01,0,0,0,0,0
2022-08,11.04,0.38,71.91,0.14,2.79,0.64,13.08,0.01,0,0,0,0,0
2022-09,10.63,0.38,71.88,0.13,2.68,0.66,13.61,0.02,0,0,0,0,0
2022-10,9.62,0.39,71.26,0.12,2.45,0.69,15.45,0.01,0,0,0,0,0
2022-11,10.25,0.4,69.75,0.13,2.53,0.79,16.13,0.01,0,0,0,0,0
2022-12,11.2,0.49,67.95,0.11,2.6,0.66,16.97,0.02,0,0,0,0,0
2023-01,9.55,0.45,68.86,0.1,2.28,0.62,18.12,0.01,0,0,0,0,0
2023-02,5.34,0.46,73.31,0.09,1.14,0.52,19.13,0.01,0,0,0,0,0
2023-03,3.73,0.39,73.46,0.09,0.84,0.51,20.95,0.02,0,0,0,0,0
2023-04,3.78,0.35,71.36,0.1,0.85,0.43,23.11,0.02,0,0,0,0,0
2023-05,3.61,0.32,71.91,0.09,0.72,0.37,22.95,0.02,0,0,0,0,0
2023-06,3.43,0.35,71.09,0.12,0.68,0.37,23.93,0.03,0,0,0,0,0
2023-07,3.69,0.33,71.14,0.1,0.7,0.35,23.66,0.03,0,0,0,0,0
2023-08,3.5,0.32,71.94,0.09,0.64,0.3,23.17,0.03,0,0,0,0,0
2023-09,3.33,0.34,71.62,0.08,0.61,0.35,23.64,0.02,0,0,0,0,0
2023-10,3.01,0.33,69.31,0.11,0.72,0.32,26.17,0.02,0,0,0,0,0
2023-11,3.16,0.46,68.02,0.09,1.33,0.29,26.63,0.02,0,0,0,0,0
